HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
A0021,Outside state ambulance serv,"Ambulance service, outside state per mile, transport (medicaid only)"
A0080,Noninterest escort in non er,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest"
A0090,Interest escort in non er,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest"
A0100,Nonemergency transport taxi,Non-emergency transportation; taxi
A0110,Nonemergency transport bus,"Non-emergency transportation and bus, intra or inter state carrier"
A0120,Noner transport mini-bus,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems"
A0130,Noner transport wheelch van,Non-emergency transportation: wheelchair van
A0140,Nonemergency transport air,Non-emergency transportation and air travel (private or commercial) intra or inter state
A0160,Noner transport case worker,Non-emergency transportation: per mile - case worker or social worker
A0170,Transport parking fees/tolls,"Transportation ancillary: parking fees, tolls, other"
A0180,Noner transport lodgng recip,Non-emergency transportation: ancillary: lodging-recipient
A0190,Noner transport meals recip,Non-emergency transportation: ancillary: meals-recipient
A0200,Noner transport lodgng escrt,Non-emergency transportation: ancillary: lodging escort
A0210,Noner transport meals escort,Non-emergency transportation: ancillary: meals-escort
A0225,Neonatal emergency transport,"Ambulance service, neonatal transport, base rate, emergency transport, one way"
A0380,Basic life support mileage,Bls mileage (per mile)
A0382,Basic support routine suppls,Bls routine disposable supplies
A0384,Bls defibrillation supplies,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)
A0390,Advanced life support mileag,Als mileage (per mile)
A0392,Als defibrillation supplies,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)
A0394,Als iv drug therapy supplies,Als specialized service disposable supplies; iv drug therapy
A0396,Als esophageal intub suppls,Als specialized service disposable supplies; esophageal intubation
A0398,Als routine disposble suppls,Als routine disposable supplies
A0420,Ambulance waiting 1/2 hr,"Ambulance waiting time (als or bls), one half (1/2) hour increments"
A0422,Ambulance 02 life sustaining,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation"
A0424,Extra ambulance attendant,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)"
A0425,Ground mileage,"Ground mileage, per statute mile"
A0426,Als 1,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)"
A0427,Als1-emergency,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)"
A0428,Bls,"Ambulance service, basic life support, non-emergency transport, (bls)"
A0429,Bls-emergency,"Ambulance service, basic life support, emergency transport (bls-emergency)"
A0430,Fixed wing air transport,"Ambulance service, conventional air services, transport, one way (fixed wing)"
A0431,Rotary wing air transport,"Ambulance service, conventional air services, transport, one way (rotary wing)"
A0432,Pi volunteer ambulance co,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers"
A0433,Als 2,"Advanced life support, level 2 (als 2)"
A0434,Specialty care transport,Specialty care transport (sct)
A0435,Fixed wing air mileage,"Fixed wing air mileage, per statute mile"
A0436,Rotary wing air mileage,"Rotary wing air mileage, per statute mile"
A0888,Noncovered ambulance mileage,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)"
A0998,Ambulance response/treatment,"Ambulance response and treatment, no transport"
A0999,Unlisted ambulance service,Unlisted ambulance service
A1,Dressing for one wound,Dressing for one wound
A2,Dressing for two wounds,Dressing for two wounds
A2001,"Innovamatrix ac, per sq cm","Innovamatrix ac, per square centimeter (add-on, list separately in addition to primary procedure)"
A2002,Mirragen adv wnd mat per sq,"Mirragen advanced wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2004,"Xcellistem, 1 mg","Xcellistem, 1 mg"
A2005,"Microlyte matrix, per sq cm","Microlyte matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2006,Novosorb synpath per sq cm,"Novosorb synpath dermal matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2007,"Restrata, per sq cm","Restrata, per square centimeter (add-on, list separately in addition to primary procedure)"
A2008,"Theragenesis, per sq cm","Theragenesis, per square centimeter (add-on, list separately in addition to primary procedure)"
A2009,"Symphony, per sq cm","Symphony, per square centimeter (add-on, list separately in addition to primary procedure)"
A2010,"Apis, per square centimeter","Apis, per square centimeter (add-on, list separately in addition to primary procedure)"
A2011,"Supra sdrm, per sq cm","Supra sdrm, per square centimeter (add-on, list separately in addition to primary procedure)"
A2012,"Suprathel, per sq cm","Suprathel, per square centimeter (add-on, list separately in addition to primary procedure)"
A2013,"Innovamatrix fs, per sq cm","Innovamatrix fs, per square centimeter (add-on, list separately in addition to primary procedure)"
A2014,Omeza collag per 100 mg,"Omeza collagen matrix, per 100 mg"
A2015,"Phoenix wnd mtrx, per sq cm","Phoenix wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2016,"Permeaderm b, per sq cm","Permeaderm b, per square centimeter (add-on, list separately in addition to primary procedure)"
A2017,"Permeaderm glove, each","Permeaderm glove, each"
A2018,"Permeaderm c, per sq cm","Permeaderm c, per square centimeter (add-on, list separately in addition to primary procedure)"
A2019,Kerecis marigen shld sq cm,"Kerecis omega3 marigen shield, per square centimeter (add-on, list separately in addition to primary procedure)"
A2020,Ac5 wound system,Ac5 advanced wound system (ac5)
A2021,Neomatrix per sq cm,"Neomatrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2022,Innovabrn/innovamatx xl sqcm,"Innovaburn or innovamatrix xl, per square centimeter (add-on, list separately in addition to primary procedure)"
A2023,"Innovamatrix pd, 1 mg","Innovamatrix pd, 1 mg"
A2024,Resolve or xenopatch sq cm,"Resolve matrix or xenopatch, per square centimeter (add-on, list separately in addition to primary procedure)"
A2025,Miro3d per cubic cm,"Miro3d, per cubic centimeter (add-on, list separately in addition to primary procedure)"
A2026,"Restrata minimatrix, 5 mg","Restrata minimatrix, 5 mg"
A2027,Matriderm per sq cm,"Matriderm, per square centimeter (add-on, list separately in addition to primary procedure)"
A2028,Micromatrix flex per mg,"Micromatrix flex, per mg"
A2029,Mirotract matrix sheet,"Mirotract wound matrix sheet, per cubic centimeter (add-on, list separately in addition to primary procedure)"
A2030,"Miro3d fibers, per mg","Miro3d fibers, per milligram"
A2031,"Mirodry, per sq cm","Mirodry wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2032,"Myriad matrix, per sq cm","Myriad matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2033,"Myriad morcells, 4 mg","Myriad morcells, 4 milligrams"
A2034,"Found drs solo, per sq cm","Foundation drs solo, per square centimeter (add-on, list separately in addition to primary procedure)"
A2035,Corpl p therac p allac p mg,"Corplex p or theracor p or allacor p, per milligram"
A2036,Cohealyx col dml mx pr sq cm,"Cohealyx collagen dermal matrix, per square centimeter (add-on, list separately in addition to primary procedure)"
A2037,"G4derm plus, per ml","G4derm plus, per milliliter"
A2038,"Marigen pacto, per sq cm","Marigen pacto, per square centimeter (add-on, list separately in addition to primary procedure)"
A2039,"Innovamatrix fd, per sq cm","Innovamatrix fd, per square centimeter (add-on, list separately in addition to primary procedure)"
A3,Dressing for three wounds,Dressing for three wounds
A4,Dressing for four wounds,Dressing for four wounds
A4100,Nosht skin sub fda clrd nos,"Non-sheet form skin substitute, fda cleared as a device, not otherwise specified (list in addition to primary procedure)"
A4206,1 cc sterile syringe&needle,"Syringe with needle, sterile, 1 cc or less, each"
A4207,2 cc sterile syringe&needle,"Syringe with needle, sterile 2 cc, each"
A4208,3 cc sterile syringe&needle,"Syringe with needle, sterile 3 cc, each"
A4209,5+ cc sterile syringe&needle,"Syringe with needle, sterile 5 cc or greater, each"
A4210,Nonneedle injection device,"Needle-free injection device, each"
A4211,Supp for self-adm injections,Supplies for self-administered injections
A4212,Non coring needle or stylet,Non-coring needle or stylet with or without catheter
A4213,20+ cc syringe only,"Syringe, sterile, 20 cc or greater, each"
A4215,Sterile needle,"Needle, sterile, any size, each"
A4216,"Sterile water/saline, 10 ml","Sterile water, saline and/or dextrose, diluent/flush, 10 ml"
A4217,"Sterile water/saline, 500 ml","Sterile water/saline, 500 ml"
A4218,Sterile saline or water,"Sterile saline or water, metered dose dispenser, 10 ml"
A4220,Infusion pump refill kit,Refill kit for implantable infusion pump
A4221,Supp non-insulin inf cath/wk,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs  separately)"
A4222,Infusion supplies with pump,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)"
A4223,Infusion supplies w/o pump,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)"
A4224,Supply insulin inf cath/wk,"Supplies for maintenance of insulin infusion catheter, per week"
A4225,Sup/ext insulin inf pump syr,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each"
A4226,Weekly supply maint cgs pump,"Supplies for maintenance of insulin infusion pump with dosage rate adjustment using therapeutic continuous glucose sensing, per week"
A4230,Infus insulin pump non needl,"Infusion set for external insulin pump, non needle cannula type"
A4231,Infusion insulin pump needle,"Infusion set for external insulin pump, needle type"
A4232,Syringe w/needle insulin 3cc,"Syringe with needle for external insulin pump, sterile, 3 cc"
A4233,Alkalin batt for glucose mon,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each"
